Game,Suzuki,Mariners
1,20601
2,18172
3,15837
4,18854
5,30413
6,30404
7,18010
8,14811
9,16741
10,19346
11,19293
12,19978
13,19961
14,19729
15,21108
16,19818
17,20412
18,19436
19,20183
20,20664
21,20337
22,21242
23,20382
24,21465
25,20117
26,20176
27,20007
28,19102
29,19999
30,18860
31,19596
32,18901
33,19294
34,19982
35,19637
36,20712
37,19934
38,21053
39,20783
40,20445
41,20820
42,19837
43,20908
44,19793
45,20279
46,19860
47,19591
48,20509
49,19526
50,20661
51,20186
52,21056
53,20686
54,20324
55,21058
56,19934
57,20591
58,19728
59,20368
60,20161
61,19784
62,20691
63,20008
64,20998
65,20243
66,20720
67,20812
68,20353
69,20986
70,19826
71,21060
72,20230
73,20017
74,20202
75,19441
76,20425
77,19637
78,20906
79,20322
80,20706
81,20994
82,20059
83,20840
84,18751
85,15287
86,17597
87,30417
88,30398
89,19012
90,15641
91,16594
92,19207
93,19851
94,19789
95,20397
96,20283
97,20911
98,21293
99,20928
100,21349
101,20022
